metric,value
accuracy,0.34579049010908713
precision_A,0.3471242212508175
recall_A,0.5026415470494418
f1_A,0.4106521163751857
precision_B,0.3444272445820433
recall_B,0.49816812538164057
f1_B,0.4072718196189367
precision_TIE,0.0
recall_TIE,0.0
f1_TIE,0.0
macro_f1,0.2726413119980408
